time,data
134.60,1527506
134.69,1527581
134.78,1527521
134.86,1527529
134.95,1527546
135.03,1527558
135.12,1527565
135.20,1527494
135.29,1527452
135.38,1527496
135.46,1527579
135.55,1527577
135.63,1527549
135.72,1527500
135.81,1527490
135.89,1527543
135.98,1527549
136.06,1527585
136.15,1527576
136.24,1527498
136.32,1527492
136.41,1527515
136.49,1527487
136.58,1527435
136.66,1527510
136.75,1527527
136.84,1527507
136.92,1527481
137.01,1527524
137.09,1527557
137.18,1527516
137.27,1527467
137.35,1527482
137.44,1527503
137.52,1527567
137.61,1527585
137.69,1527567
137.78,1527553
137.87,1527493
137.95,1527499
138.04,1527417
138.12,1527454
138.21,1527514
138.30,1527504
138.38,1527531
138.47,1527461
138.55,1527452
138.64,1527493
138.72,1527539
138.81,1527492
138.90,1527483
138.98,1527538
139.07,1527536
139.15,1527508
139.24,1527509
139.32,1527518
139.41,1527455
139.50,1527435
139.58,1527451
139.67,1527446
139.75,1527412
139.84,1527473
139.93,1527511
140.01,1527525
140.10,1527490
140.18,1527493
140.27,1527519
140.35,1527528
140.44,1527445
140.52,1527392
140.61,1527453
140.70,1527452
140.78,1527474
140.87,1527547
140.95,1527531
141.04,1527469
141.13,1527544
141.21,1527520
141.30,1527497
141.38,1527449
141.47,1527499
141.55,1527505
141.64,1527480
141.73,1527437
141.81,1527530
141.90,1527485
141.98,1527458
142.07,1527483
142.16,1527508
142.24,1527492
142.33,1527425
142.41,1527443
142.50,1527476
142.58,1527526
142.67,1527520
142.76,1527501
142.84,1527496
142.93,1527437
143.01,1527506
143.10,1527558
143.19,1527533
143.27,1527494
143.36,1527477
143.44,1527535
143.53,1527548
143.61,1527570
143.70,1527482
143.79,1527559
143.87,1527581
143.96,1527516
144.04,1527486
144.13,1527528
144.22,1527565
144.30,1527577
144.39,1527601
144.47,1527530
144.56,1527513
144.64,1527499
144.73,1527527
144.82,1527539
144.90,1527603
144.99,1527622
145.07,1527602
145.16,1527495
145.24,1527444
145.33,1527515
145.42,1527488
145.50,1527395
145.59,1527490
145.67,1527522
145.76,1527449
145.85,1527506
145.93,1527495
146.02,1527490
146.10,1527438
146.19,1527444
146.27,1527540
146.36,1527517
146.45,1527491
146.53,1527492
146.62,1527484
146.70,1527468
146.79,1527446
146.87,1527518
146.96,1527542
147.05,1527489
147.13,1527514
147.22,1527543
147.30,1527508
147.39,1527553
147.48,1527507
147.56,1527439
147.65,1527477
147.73,1527493
147.82,1527459
147.90,1527538
147.99,1527596
148.08,1527546
148.16,1527561
148.25,1527581
148.33,1527500
148.42,1527542
148.50,1527537
148.59,1527529
148.68,1527520
148.76,1527533
148.85,1527507
148.93,1527448
149.02,1527471
149.11,1527534
149.19,1527477
149.28,1527471
149.36,1527466
149.45,1527491
149.53,1527480
149.62,1527469
149.71,1527465
149.79,1527472
149.88,1527486
149.96,1527436
150.05,1527481
150.13,1527554
150.22,1527506
150.31,1527525
150.39,1527579
150.48,1527515
150.56,1527431
150.65,1527458
