time,raw_data,1_after_scaling,2_after_smoothing,3_after_bias,4_after_hysteresis,steady
162.83,1.52745e+06,0.0344084,0.0729069,0,0,1
162.92,1.52751e+06,0.0727122,0.0745949,0,0,1
163.01,1.52756e+06,0.106471,0.0773865,0,0,1
163.09,1.52757e+06,0.114262,0.0783603,0,0,1
163.18,1.52755e+06,0.103875,0.0796588,0,0,1
163.26,1.52756e+06,0.104524,0.0801132,0,0,1
163.35,1.52755e+06,0.102576,0.0818661,0,0,1
163.43,1.52752e+06,0.084398,0.0840085,0,0,1
163.52,1.52754e+06,0.0947855,0.0879038,0,0,1
163.61,1.52757e+06,0.112314,0.0930326,0,0,1
163.69,1.52755e+06,0.103875,0.0999792,0,0,1
163.78,1.52751e+06,0.0746598,0.100174,0,0,1
163.86,1.52753e+06,0.0863457,0.0981614,0,0,1
163.95,1.52754e+06,0.0973824,0.0964735,0,0,1
164.04,1.5275e+06,0.0701153,0.0930975,0,0,1
164.12,1.52746e+06,0.0402514,0.0866703,0,0,1
164.21,1.52751e+06,0.0759582,0.0840085,0,0,1
164.29,1.5275e+06,0.0720629,0.082775,0,0,1
164.38,1.5275e+06,0.0701153,0.080308,0,0,1
164.46,1.52748e+06,0.0577802,0.0748546,0,0,1
164.55,1.52754e+06,0.0915394,0.0736211,0,0,1
164.64,1.52752e+06,0.0785551,0.0740106,0,0,1
164.72,1.52754e+06,0.0921886,0.0745949,0,0,1
164.81,1.52744e+06,0.0318116,0.0680378,0,0,1
164.89,1.52744e+06,0.0272671,0.063753,0,0,1
164.98,1.5275e+06,0.0675184,0.0664797,0,0,1
165.06,1.52755e+06,0.09933,0.0688169,0,0,1
165.15,1.52754e+06,0.0960839,0.071219,0,0,1
165.24,1.52746e+06,0.0434975,0.0685572,0,0,1
165.32,1.52748e+06,0.0538849,0.0681677,0,0,1
165.41,1.5275e+06,0.0714137,0.0661551,0,0,1
165.49,1.52749e+06,0.0616755,0.0644671,0,0,1
165.58,1.5275e+06,0.0694661,0.0621949,0,0,1
165.67,1.52749e+06,0.0623247,0.0652462,0,0,1
165.75,1.5275e+06,0.0707645,0.0695959,0,0,1
165.84,1.52752e+06,0.0818012,0.0710242,0,0,1
165.92,1.52743e+06,0.0253194,0.0636231,0,0,1
166.01,1.52742e+06,0.0155812,0.0555729,0,0,1
166.09,1.52746e+06,0.0447959,0.0557027,0,0,1
166.18,1.52748e+06,0.057131,0.0560273,0,0,1
166.27,1.52748e+06,0.0584294,0.0547289,0,0,1
166.35,1.52749e+06,0.0610263,0.054664,0,0,1
166.44,1.52751e+06,0.0772567,0.055443,0,0,1
166.52,1.52746e+06,0.0415498,0.0533655,0,0,1
166.61,1.52747e+06,0.0473927,0.0510284,0,0,1
166.69,1.52749e+06,0.0603771,0.0488859,0,0,1
166.78,1.52754e+06,0.0928379,0.0556378,0,0,1
166.87,1.52751e+06,0.0766075,0.0617404,0,0,1
166.95,1.52754e+06,0.0954347,0.0668043,0,0,1
167.04,1.52757e+06,0.112314,0.0723226,0,0,1
167.12,1.52752e+06,0.0818012,0.0746598,0,0,1
167.21,1.52751e+06,0.0727122,0.0758284,0,0,1
167.3,1.52757e+06,0.114262,0.0795289,0,0,1
167.38,1.52752e+06,0.0818012,0.0835541,0,0,1
167.47,1.52748e+06,0.0551833,0.0843331,0,0,1
167.55,1.52748e+06,0.0525865,0.0835541,0,0,1
167.64,1.52749e+06,0.0597278,0.0802431,0,0,1
167.73,1.52753e+06,0.0869949,0.0812818,0,0,1
167.81,1.52753e+06,0.0882933,0.0805677,0,0,1
167.9,1.52754e+06,0.0947855,0.0788148,0,0,1
167.98,1.52749e+06,0.0610263,0.0767373,0,0,1
168.07,1.52747e+06,0.0493404,0.0744001,0,0,1
168.16,1.52745e+06,0.0357069,0.0665446,0,0,1
168.24,1.5274e+06,0.00259686,0.0586242,0,0,1
168.33,1.52742e+06,0.0142827,0.0545341,0,0,1
168.41,1.52744e+06,0.0318116,0.0524566,0,0,1
168.5,1.52747e+06,0.051288,0.0516127,0,0,1
168.58,1.52746e+06,0.0402514,0.0469383,0,0,1
