time,data
104.667,2448774
104.753,2450279
104.839,2451982
104.925,2453924
105.011,2456178
105.095,2458426
105.181,2460421
105.267,2462185
105.353,2463778
105.439,2465075
105.525,2466029
105.611,2467086
105.697,2468163
105.783,2469357
105.869,2470695
105.955,2472368
106.039,2473959
106.125,2474942
106.211,2475206
106.297,2475494
106.383,2475658
106.469,2475593
106.555,2475443
106.641,2475550
106.727,2475620
106.813,2475486
106.897,2475450
106.983,2475514
107.069,2475461
107.155,2475404
107.241,2475423
107.327,2475413
107.413,2475432
107.499,2475418
107.585,2475369
107.671,2475362
107.757,2475481
107.841,2475352
107.927,2475323
108.013,2475315
108.099,2475372
108.185,2475380
108.271,2475390
108.357,2475475
108.443,2475389
108.529,2475366
108.615,2475331
108.699,2475359
108.785,2475319
108.871,2475324
108.957,2475348
109.043,2475360
109.129,2475381
109.215,2475392
109.301,2475307
109.387,2475327
109.473,2475344
109.559,2475320
109.643,2475318
109.729,2475303
109.815,2475356
109.901,2475340
109.987,2475318
110.073,2475370
110.159,2475334
110.245,2475332
110.331,2475411
110.417,2475357
110.501,2475280
110.587,2475263
110.673,2475253
110.759,2475296
110.845,2475398
110.931,2475378
111.017,2475295
111.104,2475341
111.19,2475364
111.276,2475343
111.362,2475314
111.446,2475316
111.532,2475202
111.618,2475261
111.704,2475177
111.79,2475250
111.876,2475298
111.962,2475251
112.048,2475180
112.134,2475394
112.22,2475352
112.306,2475155
112.39,2475273
112.476,2475336
112.562,2475176
112.648,2475216
112.734,2475415
112.82,2475312
112.906,2475167
112.992,2475243
113.078,2475275
113.164,2475230
113.248,2475259
113.334,2475253
113.42,2475279
113.506,2475320
113.592,2475311
113.678,2475434
113.764,2475219
113.85,2475206
113.936,2475231
114.022,2475144
114.108,2475134
114.192,2475323
114.278,2475264
114.364,2475160
114.45,2475246
114.536,2475271
114.622,2475279
114.708,2475268
114.794,2475242
114.88,2475210
114.966,2475204
115.05,2475235
115.136,2475181
115.222,2475177
115.308,2475216
115.394,2475133
115.48,2475152
115.566,2475167
115.652,2475190
115.738,2475198
115.824,2475136
115.91,2475194
115.994,2475175
116.08,2475144
116.166,2475159
116.252,2475163
116.338,2475067
116.424,2475121
116.51,2475093
116.596,2475105
116.682,2475134
116.768,2475095
116.852,2475117
116.938,2475170
117.024,2475138
117.11,2475148
117.196,2475091
117.282,2475072
117.368,2475152
117.454,2475182
117.54,2475090
117.626,2475096
117.712,2475094
117.796,2475057
117.882,2475130
117.968,2475008
118.054,2475015
118.14,2475016
118.226,2475071
118.312,2475030
118.398,2475005
118.484,2475016
118.571,2475016
118.654,2475034
118.74,2475051
118.827,2475071
118.913,2475017
118.999,2475034
119.085,2475054
119.171,2475067
119.257,2474985
119.343,2474970
119.429,2475106
119.515,2475154
119.599,2475065
119.685,2475084
119.771,2474916
119.857,2474923
119.943,2475011
120.029,2474939
120.115,2474942
120.201,2474996
120.287,2475104
120.373,2475030
120.457,2475056
120.543,2474989
120.629,2475000
120.715,2474999
120.801,2475010
120.887,2474975
120.973,2474966
121.059,2475034
